4ycHVT7y1uSMQA.schema.yaml	labels	4ycHVT7y1uSMQA	labels/4ycHVT7y1uSMQA.schema.yaml	Give Thanks - Yohan Kim	mc	mn	quarterbeats	quarterbeats_all_endings	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match		
HQ-ZIFEAfWCIPw.schema.yaml	labels	HQ-ZIFEAfWCIPw	labels/HQ-ZIFEAfWCIPw.schema.yaml	op01n11a	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	placement	regex_match
L0C4V_KZ9uC1wA.schema.yaml	labels	L0C4V_KZ9uC1wA	labels/L0C4V_KZ9uC1wA.schema.yaml	n02op18-2_03	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	harmony_layer	label	regex_match
lUczlVcwaaI7EA.schema.yaml	labels	lUczlVcwaaI7EA	labels/lUczlVcwaaI7EA.schema.yaml	Deep Space _ Solar	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	baseCase	harmony_layer	label	regex_match
yFiIeUpm-ERDfw.schema.yaml	labels	yFiIeUpm-ERDfw	labels/yFiIeUpm-ERDfw.schema.yaml	n01op18-1_01	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	harmony_layer	label	regex_match	
