-0XDRkLG6uKtzw.schema.yaml	chords	-0XDRkLG6uKtzw	chords/-0XDRkLG6uKtzw.schema.yaml	K333-1	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_line	Trill:trill																	
-1M-hgWpnVU8jQ.schema.yaml	chords	-1M-hgWpnVU8jQ	chords/-1M-hgWpnVU8jQ.schema.yaml	17-1	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_line	crescendo_hairpin	diminuendo_line															
-2Qn8drA-bnI-w.schema.yaml	chords	-2Qn8drA-bnI-w	chords/-2Qn8drA-bnI-w.schema.yaml	Giant Steps - Mintzer (Concert Key)	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	Ottava:8va																						
-4Pg5J-hOAqyZw.schema.yaml	chords	-4Pg5J-hOAqyZw	chords/-4Pg5J-hOAqyZw.schema.yaml	n08op59-2_02	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin	Trill:trill																				
-DG6IimjUvGd5w.schema.yaml	chords	-DG6IimjUvGd5w	chords/-DG6IimjUvGd5w.schema.yaml	op13no4 Der Mond kommt still gegangen	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_hairpin	decrescendo_hairpin																
-ENJE2fj7parIA.schema.yaml	chords	-ENJE2fj7parIA	chords/-ENJE2fj7parIA.schema.yaml	op01n03c	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	system_text	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur																							
-FwCmTVHJPEjPA.schema.yaml	chords	-FwCmTVHJPEjPA	chords/-FwCmTVHJPEjPA.schema.yaml	18-3	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line	decrescendo_hairpin																					
-JxAz0o0zlzrBg.schema.yaml	chords	-JxAz0o0zlzrBg	chords/-JxAz0o0zlzrBg.schema.yaml	l111-01_images_cloches	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text	tempo	qpm	tempo_visible	slur	Ottava:8va	crescendo_hairpin	decrescendo_hairpin																
-KUnpPENBOeMkA.schema.yaml	chords	-KUnpPENBOeMkA	chords/-KUnpPENBOeMkA.schema.yaml	07-1	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	crescendo_line	decrescendo_hairpin																					
-MzaATRZxdc0VQ.schema.yaml	chords	-MzaATRZxdc0VQ	chords/-MzaATRZxdc0VQ.schema.yaml	BI89-1op24-1	mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin													
